# copies_x,Course,Customer heading,Subject,Type Current Support_x,Year_x,Latitude_x,Longitude_x,Town_x,Current Seller id_x,Institution_x,Titularity_x,Publishing group_1_x,key_x,# copies_y,Type Current Support_y,Year_y,Latitude_y,Longitude_y,Town_y,Current Seller id_y,Institution_y,Titularity_y,Publishing group_1_y,key_y,churn
144.0,29,136369,60,1.0,2016.0,40.428274,-3.681298,MADRID,208.0,No,Catholic,1.0,29_60_136369,140,1,2015,40.428274,-3.681298,MADRID,208.0,No,Catholic,1,29_60_136369,0
136.0,30,136369,60,1.0,2016.0,40.428274,-3.681298,MADRID,208.0,No,Catholic,1.0,30_60_136369,148,1,2015,40.428274,-3.681298,MADRID,208.0,No,Catholic,1,30_60_136369,0
136.0,30,136369,65,1.0,2016.0,40.428274,-3.681298,MADRID,208.0,No,Catholic,0.0,30_65_136369,148,1,2015,40.428274,-3.681298,MADRID,208.0,No,Catholic,1,30_65_136369,1
135.0,26,136369,79,1.0,2016.0,40.428274,-3.681298,MADRID,208.0,No,Catholic,1.0,26_79_136369,0,1,2015,40.428274,-3.681298,MADRID,208.0,No,Catholic,1,26_79_136369,0
136.0,30,136369,79,1.0,2016.0,40.428274,-3.681298,MADRID,208.0,No,Catholic,1.0,30_79_136369,148,1,2015,40.428274,-3.681298,MADRID,208.0,No,Catholic,1,30_79_136369,0
136.0,27,136369,54,1.0,2016.0,40.428274,-3.681298,MADRID,208.0,No,Catholic,1.0,27_54_136369,0,1,2015,40.428274,-3.681298,MADRID,208.0,No,Catholic,1,27_54_136369,0
136.0,27,136369,60,1.0,2016.0,40.428274,-3.681298,MADRID,208.0,No,Catholic,1.0,27_60_136369,0,1,2015,40.428274,-3.681298,MADRID,208.0,No,Catholic,1,27_60_136369,0
147.0,31,136369,60,1.0,2016.0,40.428274,-3.681298,MADRID,208.0,No,Catholic,1.0,31_60_136369,0,1,2015,40.428274,-3.681298,MADRID,208.0,No,Catholic,1,31_60_136369,0
147.0,31,136369,79,1.0,2016.0,40.428274,-3.681298,MADRID,208.0,No,Catholic,1.0,31_79_136369,139,1,2015,40.428274,-3.681298,MADRID,208.0,No,Catholic,1,31_79_136369,0
140.0,28,136369,65,1.0,2016.0,40.428274,-3.681298,MADRID,208.0,No,Catholic,0.0,28_65_136369,144,1,2015,40.428274,-3.681298,MADRID,208.0,No,Catholic,1,28_65_136369,1
140.0,28,136369,79,1.0,2016.0,40.428274,-3.681298,MADRID,208.0,No,Catholic,1.0,28_79_136369,144,1,2015,40.428274,-3.681298,MADRID,208.0,No,Catholic,1,28_79_136369,0
119.0,29,136370,54,1.0,2016.0,40.40823,-3.676975,MADRID,208.0,No,Catholic,1.0,29_54_136370,0,1,2015,40.40823,-3.676975,MADRID,208.0,No,Catholic,1,29_54_136370,0
118.0,30,136370,15,1.0,2016.0,40.40823,-3.676975,MADRID,208.0,No,Catholic,1.0,30_15_136370,120,1,2015,40.40823,-3.676975,MADRID,208.0,No,Catholic,1,30_15_136370,0
0.0,29,136370,79,1.0,2016.0,40.40823,-3.676975,MADRID,208.0,No,Catholic,1.0,29_79_136370,117,1,2015,40.40823,-3.676975,MADRID,208.0,No,Catholic,1,29_79_136370,0
116.0,26,136370,60,1.0,2016.0,40.40823,-3.676975,MADRID,208.0,No,Catholic,1.0,26_60_136370,120,1,2015,40.40823,-3.676975,MADRID,208.0,No,Catholic,1,26_60_136370,0
118.0,30,136370,60,1.0,2016.0,40.40823,-3.676975,MADRID,208.0,No,Catholic,1.0,30_60_136370,120,1,2015,40.40823,-3.676975,MADRID,208.0,No,Catholic,1,30_60_136370,0
116.0,26,136370,79,1.0,2016.0,40.40823,-3.676975,MADRID,208.0,No,Catholic,1.0,26_79_136370,120,1,2015,40.40823,-3.676975,MADRID,208.0,No,Catholic,1,26_79_136370,0
119.0,27,136370,13,1.0,2016.0,40.40823,-3.676975,MADRID,208.0,No,Catholic,1.0,27_13_136370,120,1,2015,40.40823,-3.676975,MADRID,208.0,No,Catholic,1,27_13_136370,0
118.0,31,136370,15,1.0,2016.0,40.40823,-3.676975,MADRID,208.0,No,Catholic,1.0,31_15_136370,120,1,2015,40.40823,-3.676975,MADRID,208.0,No,Catholic,1,31_15_136370,0
118.0,30,136370,79,1.0,2016.0,40.40823,-3.676975,MADRID,208.0,No,Catholic,1.0,30_79_136370,120,1,2015,40.40823,-3.676975,MADRID,208.0,No,Catholic,1,30_79_136370,0
119.0,27,136370,54,1.0,2016.0,40.40823,-3.676975,MADRID,208.0,No,Catholic,1.0,27_54_136370,120,1,2015,40.40823,-3.676975,MADRID,208.0,No,Catholic,1,27_54_136370,0
119.0,27,136370,79,1.0,2016.0,40.40823,-3.676975,MADRID,208.0,No,Catholic,1.0,27_79_136370,0,1,2015,40.40823,-3.676975,MADRID,208.0,No,Catholic,1,27_79_136370,0
119.0,28,136370,60,1.0,2016.0,40.40823,-3.676975,MADRID,208.0,No,Catholic,1.0,28_60_136370,120,1,2015,40.40823,-3.676975,MADRID,208.0,No,Catholic,1,28_60_136370,0
122.0,29,136372,54,1.0,2016.0,40.372197,-3.760104,MADRID,208.0,No,Catholic,1.0,29_54_136372,0,1,2015,40.372197,-3.760104,MADRID,208.0,No,Catholic,1,29_54_136372,0
119.0,27,136372,15,1.0,2016.0,40.372197,-3.760104,MADRID,208.0,No,Catholic,1.0,27_15_136372,114,1,2015,40.372197,-3.760104,MADRID,208.0,No,Catholic,1,27_15_136372,0
115.0,31,136372,13,1.0,2016.0,40.372197,-3.760104,MADRID,208.0,No,Catholic,1.0,31_13_136372,114,1,2015,40.372197,-3.760104,MADRID,208.0,No,Catholic,1,31_13_136372,0
112.0,30,136372,79,1.0,2016.0,40.372197,-3.760104,MADRID,208.0,No,Catholic,1.0,30_79_136372,116,1,2015,40.372197,-3.760104,MADRID,208.0,No,Catholic,1,30_79_136372,0
115.0,31,136372,15,1.0,2016.0,40.372197,-3.760104,MADRID,208.0,No,Catholic,1.0,31_15_136372,114,1,2015,40.372197,-3.760104,MADRID,208.0,No,Catholic,1,31_15_136372,0
119.0,27,136372,60,1.0,2016.0,40.372197,-3.760104,MADRID,208.0,No,Catholic,1.0,27_60_136372,114,1,2015,40.372197,-3.760104,MADRID,208.0,No,Catholic,1,27_60_136372,0
115.0,31,136372,65,1.0,2016.0,40.372197,-3.760104,MADRID,208.0,No,Catholic,1.0,31_65_136372,0,1,2015,40.372197,-3.760104,MADRID,208.0,No,Catholic,1,31_65_136372,0
113.0,28,136372,13,1.0,2016.0,40.372197,-3.760104,MADRID,208.0,No,Catholic,1.0,28_13_136372,0,1,2015,40.372197,-3.760104,MADRID,208.0,No,Catholic,1,28_13_136372,0
115.0,31,136372,79,1.0,2016.0,40.372197,-3.760104,MADRID,208.0,No,Catholic,1.0,31_79_136372,0,1,2015,40.372197,-3.760104,MADRID,208.0,No,Catholic,1,31_79_136372,0
113.0,28,136372,60,1.0,2016.0,40.372197,-3.760104,MADRID,208.0,No,Catholic,1.0,28_60_136372,121,1,2015,40.372197,-3.760104,MADRID,208.0,No,Catholic,1,28_60_136372,0
25.0,30,136377,54,1.0,2016.0,40.603361,-3.712042,TRES CANTOS,117.0,Yes,Public,1.0,30_54_136377,42,1,2015,40.603361,-3.712042,TRES CANTOS,117.0,Yes,Public,1,30_54_136377,0
40.0,31,136377,15,1.0,2016.0,40.603361,-3.712042,TRES CANTOS,117.0,Yes,Public,1.0,31_15_136377,36,1,2015,40.603361,-3.712042,TRES CANTOS,117.0,Yes,Public,1,31_15_136377,0
14.0,27,136377,60,1.0,2016.0,40.603361,-3.712042,TRES CANTOS,117.0,Yes,Public,1.0,27_60_136377,0,1,2015,40.603361,-3.712042,TRES CANTOS,117.0,Yes,Public,1,27_60_136377,0
25.0,28,136377,13,1.0,2016.0,40.603361,-3.712042,TRES CANTOS,117.0,Yes,Public,1.0,28_13_136377,31,1,2015,40.603361,-3.712042,TRES CANTOS,117.0,Yes,Public,1,28_13_136377,0
25.0,28,136377,15,1.0,2016.0,40.603361,-3.712042,TRES CANTOS,117.0,Yes,Public,1.0,28_15_136377,0,1,2015,40.603361,-3.712042,TRES CANTOS,117.0,Yes,Public,1,28_15_136377,0
