Course,Customer heading,Subject,Year,# copies,Type Current Support,Latitude,Longitude,Town,Current Seller id,Institution,Titularity,key,churn,change_copies
29,136369.0,60,2016.0,140,1,40.428274,-3.681298,MADRID,208.0,No,Catholic,29_60_136369.0,0,4.0
30,136369.0,60,2016.0,148,1,40.428274,-3.681298,MADRID,208.0,No,Catholic,30_60_136369.0,0,-12.0
30,136369.0,65,2016.0,148,1,40.428274,-3.681298,MADRID,208.0,No,Catholic,30_65_136369.0,1,-12.0
26,136369.0,79,2016.0,0,1,40.428274,-3.681298,MADRID,208.0,No,Catholic,26_79_136369.0,0,135.0
30,136369.0,79,2016.0,148,1,40.428274,-3.681298,MADRID,208.0,No,Catholic,30_79_136369.0,0,-12.0
27,136369.0,54,2016.0,0,1,40.428274,-3.681298,MADRID,208.0,No,Catholic,27_54_136369.0,0,136.0
27,136369.0,60,2016.0,0,1,40.428274,-3.681298,MADRID,208.0,No,Catholic,27_60_136369.0,0,136.0
31,136369.0,60,2016.0,0,1,40.428274,-3.681298,MADRID,208.0,No,Catholic,31_60_136369.0,0,147.0
31,136369.0,79,2016.0,139,1,40.428274,-3.681298,MADRID,208.0,No,Catholic,31_79_136369.0,0,8.0
28,136369.0,65,2016.0,144,1,40.428274,-3.681298,MADRID,208.0,No,Catholic,28_65_136369.0,1,-4.0
28,136369.0,79,2016.0,144,1,40.428274,-3.681298,MADRID,208.0,No,Catholic,28_79_136369.0,0,-4.0
29,136370.0,54,2016.0,0,1,40.40823,-3.676975,MADRID,208.0,No,Catholic,29_54_136370.0,0,119.0
30,136370.0,15,2016.0,120,1,40.40823,-3.676975,MADRID,208.0,No,Catholic,30_15_136370.0,0,-2.0
29,136370.0,79,2016.0,117,1,40.40823,-3.676975,MADRID,208.0,No,Catholic,29_79_136370.0,0,-117.0
26,136370.0,60,2016.0,120,1,40.40823,-3.676975,MADRID,208.0,No,Catholic,26_60_136370.0,0,-4.0
30,136370.0,60,2016.0,120,1,40.40823,-3.676975,MADRID,208.0,No,Catholic,30_60_136370.0,0,-2.0
26,136370.0,79,2016.0,120,1,40.40823,-3.676975,MADRID,208.0,No,Catholic,26_79_136370.0,0,-4.0
27,136370.0,13,2016.0,120,1,40.40823,-3.676975,MADRID,208.0,No,Catholic,27_13_136370.0,0,-1.0
31,136370.0,15,2016.0,120,1,40.40823,-3.676975,MADRID,208.0,No,Catholic,31_15_136370.0,0,-2.0
30,136370.0,79,2016.0,120,1,40.40823,-3.676975,MADRID,208.0,No,Catholic,30_79_136370.0,0,-2.0
27,136370.0,54,2016.0,120,1,40.40823,-3.676975,MADRID,208.0,No,Catholic,27_54_136370.0,0,-1.0
27,136370.0,79,2016.0,0,1,40.40823,-3.676975,MADRID,208.0,No,Catholic,27_79_136370.0,0,119.0
28,136370.0,60,2016.0,120,1,40.40823,-3.676975,MADRID,208.0,No,Catholic,28_60_136370.0,0,-1.0
29,136372.0,54,2016.0,0,1,40.372197,-3.760104,MADRID,208.0,No,Catholic,29_54_136372.0,0,122.0
27,136372.0,15,2016.0,114,1,40.372197,-3.760104,MADRID,208.0,No,Catholic,27_15_136372.0,0,5.0
31,136372.0,13,2016.0,114,1,40.372197,-3.760104,MADRID,208.0,No,Catholic,31_13_136372.0,0,1.0
30,136372.0,79,2016.0,116,1,40.372197,-3.760104,MADRID,208.0,No,Catholic,30_79_136372.0,0,-4.0
31,136372.0,15,2016.0,114,1,40.372197,-3.760104,MADRID,208.0,No,Catholic,31_15_136372.0,0,1.0
27,136372.0,60,2016.0,114,1,40.372197,-3.760104,MADRID,208.0,No,Catholic,27_60_136372.0,0,5.0
31,136372.0,65,2016.0,0,1,40.372197,-3.760104,MADRID,208.0,No,Catholic,31_65_136372.0,0,115.0
28,136372.0,13,2016.0,0,1,40.372197,-3.760104,MADRID,208.0,No,Catholic,28_13_136372.0,0,113.0
31,136372.0,79,2016.0,0,1,40.372197,-3.760104,MADRID,208.0,No,Catholic,31_79_136372.0,0,115.0
28,136372.0,60,2016.0,121,1,40.372197,-3.760104,MADRID,208.0,No,Catholic,28_60_136372.0,0,-8.0
30,136377.0,54,2016.0,42,1,40.603361,-3.712042,TRES CANTOS,117.0,Yes,Public,30_54_136377.0,0,-17.0
31,136377.0,15,2016.0,36,1,40.603361,-3.712042,TRES CANTOS,117.0,Yes,Public,31_15_136377.0,0,4.0
27,136377.0,60,2016.0,0,1,40.603361,-3.712042,TRES CANTOS,117.0,Yes,Public,27_60_136377.0,0,14.0
28,136377.0,13,2016.0,31,1,40.603361,-3.712042,TRES CANTOS,117.0,Yes,Public,28_13_136377.0,0,-6.0
28,136377.0,15,2016.0,0,1,40.603361,-3.712042,TRES CANTOS,117.0,Yes,Public,28_15_136377.0,0,25.0
28,136377.0,60,2016.0,31,1,40.603361,-3.712042,TRES CANTOS,117.0,Yes,Public,28_60_136377.0,0,-6.0
28,136377.0,54,2016.0,0,1,40.603361,-3.712042,TRES CANTOS,117.0,Yes,Public,28_54_136377.0,0,25.0
29,136377.0,15,2016.0,20,1,40.603361,-3.712042,TRES CANTOS,117.0,Yes,Public,29_15_136377.0,0,11.0
29,136377.0,13,2016.0,20,1,40.603361,-3.712042,TRES CANTOS,117.0,Yes,Public,29_13_136377.0,0,11.0
30,136378.0,13,2016.0,56,1,40.242364,-3.704871,PINTO,189.0,No,Catholic,30_13_136378.0,0,-8.0
30,136378.0,54,2016.0,56,1,40.242364,-3.704871,PINTO,189.0,No,Catholic,30_54_136378.0,0,-8.0
27,136378.0,15,2016.0,50,1,40.242364,-3.704871,PINTO,189.0,No,Catholic,27_15_136378.0,0,2.0
31,136378.0,60,2016.0,47,1,40.242364,-3.704871,PINTO,189.0,No,Catholic,31_60_136378.0,0,11.0
27,136378.0,79,2016.0,50,1,40.242364,-3.704871,PINTO,189.0,No,Catholic,27_79_136378.0,0,2.0
28,136378.0,13,2016.0,53,1,40.242364,-3.704871,PINTO,189.0,No,Catholic,28_13_136378.0,0,-1.0
28,136378.0,15,2016.0,53,1,40.242364,-3.704871,PINTO,189.0,No,Catholic,28_15_136378.0,0,-1.0
31,136378.0,79,2016.0,47,1,40.242364,-3.704871,PINTO,189.0,No,Catholic,31_79_136378.0,0,11.0
29,136378.0,15,2016.0,58,1,40.242364,-3.704871,PINTO,189.0,No,Catholic,29_15_136378.0,0,-5.0
29,136384.0,60,2016.0,0,1,40.41026,-3.610935,MADRID,208.0,No,Catholic,29_60_136384.0,0,57.0
26,136384.0,15,2016.0,60,1,40.41026,-3.610935,MADRID,208.0,No,Catholic,26_15_136384.0,0,-11.0
26,136384.0,13,2016.0,60,1,40.41026,-3.610935,MADRID,208.0,No,Catholic,26_13_136384.0,0,-11.0
